               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.070839,            0.036523,            0.012654,             0.46889,             0.16667,             0.14846,            0.065575,            0.068524,            0.036518,            0.023303,            0.002872,            0.002872,            0.002872
                  38,            0.067763,            0.036358,            0.013891,             0.44326,             0.18227,             0.13584,            0.059562,              0.0692,              0.0365,            0.023205,            0.002674,            0.002674,            0.002674
                  39,            0.064579,            0.039488,            0.012818,             0.46942,             0.16667,             0.14478,            0.076189,             0.06804,            0.036523,             0.02295,            0.002476,            0.002476,            0.002476
                  40,            0.065028,              0.0386,            0.012041,             0.58864,             0.12488,             0.14332,            0.074792,            0.067874,             0.03641,            0.022776,            0.002278,            0.002278,            0.002278
                  41,            0.065551,            0.036405,            0.012457,             0.52659,             0.16667,             0.17386,            0.081255,            0.068717,            0.036016,             0.02268,             0.00208,             0.00208,             0.00208
                  42,            0.062868,            0.035274,            0.012272,             0.62991,             0.16667,             0.17969,             0.07296,            0.067438,            0.036065,            0.022655,            0.001882,            0.001882,            0.001882
                  43,            0.063916,            0.037163,            0.011994,             0.58756,               0.125,              0.1705,            0.045144,            0.068299,            0.035937,            0.022814,            0.001684,            0.001684,            0.001684
                  44,            0.064444,            0.037363,             0.01159,             0.58852,               0.125,             0.15803,            0.047268,            0.068037,             0.03597,            0.022858,            0.001486,            0.001486,            0.001486
                  45,            0.063371,            0.032959,            0.011409,             0.59065,               0.125,             0.15672,            0.048524,            0.067799,            0.036037,            0.022967,            0.001288,            0.001288,            0.001288
                  46,            0.062172,             0.03982,            0.010405,             0.61264,             0.16667,             0.15962,            0.055667,            0.066579,            0.036263,            0.022936,             0.00109,             0.00109,             0.00109
                  47,            0.061477,            0.033303,           0.0095997,             0.65926,             0.20833,             0.17738,            0.058906,            0.066389,            0.036131,            0.022911,            0.000892,            0.000892,            0.000892
                  48,            0.062147,            0.035396,            0.010381,             0.63554,             0.20833,             0.17585,            0.054558,            0.066304,            0.036186,             0.02293,            0.000694,            0.000694,            0.000694
                  49,            0.063811,            0.034341,            0.011312,             0.66146,             0.20833,             0.18038,            0.060038,             0.06644,            0.036181,            0.022923,            0.000496,            0.000496,            0.000496
